result/time(s)	input	Character Table Creation	sorting time	output	total
"len:100, line:1000"	0.0000000	0.0120000	0.0160000	0.0200000	
"len:500, line:1000"	0.0000000	0.0440000	0.0510000	0.0560000	
len:1000 line:1000	0.0000000	0.1340000	0.1480000	0.1600000	
"len:100, line:5000"	0.0000000	0.0560000	0.0620000	0.0720000	
"len:500, line:5000"	0.0000000	0.2450000	0.2640000	0.2740000	
len:1000 line:5000	0.0000000	0.4130000	0.4470000	0.4560000	
"len:100, line:10000"	0.0000000	0.0880000	0.0990000	0.1150000	
"len:500, line:10000"	0.0000000	0.4340000	0.4750000	0.5040000	
len:1000 line:10000	0.0000000	0.8460000	0.9100000	0.9270000	
"len:100, line:50000"	0.0000000	0.4350000	0.4810000	0.5740000	
"len:500, line:50000"	0.0000000	2.4170001	2.5969999	2.7110000	
len:1000 line:50000	0.0000000	5.4330001	5.7820001	5.8860002	
"len:100, line:100000"	0.0000000	0.8760000	0.9980000	1.3950000	
"len:500, line:100000"	0.0000000	5.2729998	5.6339998	5.8690000	
len:1000 line:100000	0.0000000	10.8559999	11.5930004	11.8470001	
"len:100, line:500000"	0.0000000	5.3010001	5.8169999	7.3070002	
"len:500, line:500000"	0.0000000	26.2269993	28.8920002	30.7369995	
len:1000 line:500000	0.0000000	49.3100014	52.4199982	53.8580017	
